,S.N.O,   Video name,Duration,Submission date,,,,,,,,
,1,How to Fundamental Analysis,18:14 min,15-04-2023,,,,,,,,
,2,How to do management analysis of company,27:00 min,20-04-2023,,,,,,,,
,3,How to do management analysis of stocks,13:23 min,,,,,,,,,
,4,How to do industry analysis in stocks,25:25 min,28-04-2023,,,,,,,,
,5,How to read company balance sheet,21:07 min,,,,,,,,,
,6,What is profit and loss statement,24:38 min,,,,,,,,,
,7,What is cashflow statement,16:21 min,01-05-2023,,,,,,,,
,8,"What is EBITDA,Net profit,Gross Profit",19:09 min,,,,,,,,,
,9,What is ROI analysis of stock,21:47 min,06-05-2023,,,,,,,,
,10,How to find stocks for investment,19:40 min,,,,,,,,,
,11,What is debt to equity ratio,19:01 min,,,,,,,,,
,12,Best ratio to find company liquidity  ,15:40 min,15-05-2023,,,,,,,,
,13,How to buy  stocks right valuation Part-1,18:13 min,,,,,,,,,
,14,How to buy stocks right valuation Part-2,17:08 min,,,,,,,,,
,15,What is intrinsic value of stock,30:01 min,23-05-2023,,,,,,,,
,16,How to find future multibagger stock,27:45 min,,,,,,,,,
,17,5 stocks to buy,21:31 min,,,,,,,,,
,,,,,,,,,,,,
